,antiguedad,calle,cant. baños,cant. cocheras,cant. dormitorios,cant. plantas,enlace,precio,sup. cubierta,sup. terreno
147,8,payro,4,2,4,2,/casa-en-venta-en-banfield-6-ambientes--7725034,240000,280,312
148,30,capello,2,1,3,2,/casa-en-venta-en-banfield-5-ambientes--7725044,310000,280,220
149,60,hipolito vieytes,2,1,3,1,/casa-en-venta-en-banfield-4-ambientes--7725052,329000,140,340
150,50,las heras,1,0,2,1,/casa-en-venta-en-banfield-3-ambientes--7725063,249000,130,390
151,50,san martin,1,0,2,2,/casa-en-venta-en-banfield-3-ambientes--7725068,125000,85,60
152,25,vieytes,4,0,3,2,/casa-en-venta-en-banfield-4-ambientes--7725090,255000,216,234
153,40,tucuman,3,1,4,2,/casa-en-venta-en-banfield-5-ambientes--7725134,279000,192,330
154,40,godoy cruz,3,2,3,2,/casa-en-venta-en-banfield-5-ambientes--7725138,350000,260,190
155,60,darragueira,2,1,2,2,/casa-en-venta-en-banfield-3-ambientes--7725153,155000,115,113
156,10,capdevila,2,1,3,1,/casa-en-venta-en-banfield--8085365,250000,273,493
157,60,cabrera,2,1,2,1,/casa-en-venta-en-banfield--8085384,85000,96,163
158,20,cabrera,3,2,3,2,/casa-en-venta-en-banfield--8235689,320000,350,490
159,20,arenales al,2,0,3,2,/casa-en-venta-en-banfield--8267356,550000,340,975
160,25,godoy cruz,2,2,2,2,/casa-en-venta-en-banfield--8267476,180000,100,146
161,40,medrano,2,0,4,1,/casa-en-venta-en-banfield--8347292,177000,201,226
162,25,capello,5,5,4,1,/casa-en-venta-en-banfield--8419281,710000,396,993
163,60,martin capello n°,1,0,3,2,/casa-en-venta-en-banfield--8458672,225000,108,642
164,4,glo,2,2,3,1,/casa-en-venta-en-banfield-5-ambientes--8481026,255000,245,223
165,15,san martin,2,2,3,2,/casa-en-venta-en-banfield-5-ambientes--8501458,440000,280,169
166,30,gr pacios,1,1,2,1,/casa-en-venta-en-banfield--8736296,125000,100,210
167,50,arenes,1,0,2,1,/casa-en-venta-en-banfield--8736304,200000,90,485
168,2,matheu,1,2,2,1,/casa-en-venta-en-banfield--8737608,185000,82,211
169,40,stamacchia,1,0,2,1,/casa-en-venta-en-banfield--8927430,80000,101,150
170,52,melo,1,0,3,1,/casa-en-venta-en-banfield-4-ambientes--8935066,160000,170,201
171,30,viamonte,1,0,2,1,/casa-en-venta-en-banfield--8938188,250000,118,639
172,20,jose darragueira,3,2,3,2,/casa-en-venta-en-banfield-5-ambientes--8941195,415000,290,357
173,60,cabrera,1,1,2,1,/casa-en-venta-en-banfield--8993021,85000,96,163
174,65,acevedo,1,0,2,1,/casa-en-venta-en-banfield--9003429,310000,90,265
175,9,monteagudo,4,2,4,2,/casa-en-venta-en-banfield--9033218,680000,310,329
176,40,carlos croce,2,2,2,1,/casa-en-venta-en-banfield--9033355,250000,100,277
177,45,avenida alsina,1,0,2,1,/casa-en-venta-en-banfield--9081652,250000,91,320
178,45,av. alsina,1,0,2,1,/casa-en-venta-en-banfield--9091689,250000,91,320
179,15,pacios,2,2,2,2,/casa-en-venta-en-banfield--9362831,185000,110,248
180,20,paso,3,2,4,2,/casa-en-venta-en-banfield--9378125,310000,229,238
181,50,lugano,1,0,2,1,/casa-en-venta-en-banfield--6625700,150000,144,311
182,40,gr. pacios,3,1,4,1,/casa-en-venta-en-banfield--10047937,260000,200,438
183,2,castro barros,2,1,2,1,/casa-en-venta-en-banfield--10325722,198000,110,306
184,40,vicente barbieri,2,1,4,1,/casa-en-venta-en-banfield-5-ambientes--10466310,55000,96,200
185,30,godoy cruz,2,1,2,2,/casa-en-venta-en-banfield-3-ambientes--10503791,350000,200,510
186,60,viamonte,1,2,2,1,/casa-en-venta-en-banfield--7109410,163000,119,331
187,40,berutti,1,1,3,1,/casa-en-venta-en-banfield--10847418,85000,130,208
188,35,fonrouge,1,1,3,1,/casa-en-venta-en-banfield-4-ambientes--10875740,120000,120,260
189,15,ventin vergara,1,1,2,2,/casa-en-venta-en-banfield--10887192,160000,66,98
190,37,peña,1,1,3,1,/casa-en-venta-en-banfield-4-ambientes--10345593,85000,180,335
191,52,monseñor schell,1,2,2,1,/casa-en-venta-en-banfield-4-ambientes--8372861,135000,100,320
192,40,levle,4,3,5,2,/casa-en-venta-en-banfield-8-ambientes--11054288,275000,354,520
193,45,lugano,2,1,4,1,/casa-en-venta-en-banfield-6-ambientes--11057634,145000,144,311
194,37,pasaje m.montero banfield,1,0,3,3,/casa-en-venta-en-banfield-4-ambientes--10256215,150000,200,305
195,2003,glo,2,1,3,1,/casa-en-venta-en-banfield-4-ambientes--10578781,189900,150,374
196,14,manuel biña,2,3,4,2,/casa-en-venta-en-banfield--11143030,270000,251,250
197,5,belgrano,2,1,3,2,/casa-en-venta-en-banfield--8993238,210000,183,119
198,15,grigera,3,2,3,3,/casa-en-venta-en-banfield--9010064,470000,280,310
199,20,rodriguez peña,7,6,4,3,/casa-en-venta-en-banfield--9063082,1400000,860,1.372
200,30,uriarte,1,2,3,2,/casa-en-venta-en-banfield--11293299,295000,180,300
201,42,presidente quintana,2,1,3,1,/casa-en-venta-en-banfield-4-ambientes--11306246,165000,120,"226,70"
202,52,vieytes,2,0,2,1,/casa-en-venta-en-banfield-3-ambientes--8484513,130000,105,150
203,20,medrano,2,3,3,1,/casa-en-venta-en-banfield-5-ambientes--11346982,194000,205,230
204,47,presidente derqui,2,1,3,2,/casa-en-venta-en-banfield-4-ambientes--11356024,134000,148,250
205,50,leandro n. alem,3,2,4,2,/casa-en-venta-en-banfield-5-ambientes--8537431,200000,330,232
206,40,medrano,2,1,4,2,/casa-en-venta-en-banfield--11361548,180000,188,374
207,53,alberto larroque,2,2,3,1,/casa-en-venta-en-banfield-4-ambientes--11364566,175000,131,"251,91"
208,40,carlos croce,2,0,3,2,/casa-en-venta-en-banfield-4-ambientes--11373076,185000,118,118
209,36,rodriguez peña,3,2,4,1,/casa-en-venta-en-banfield-7-ambientes--10323083,440000,328,320
210,42,tunez,1,2,2,1,/casa-en-venta-en-banfield-3-ambientes--11328849,94000,120,484
211,33,manuel castro,4,2,4,2,/casa-en-venta-en-banfield-5-ambientes--11389316,970000,567,907
212,52,luis siciliano,2,1,3,1,/casa-en-venta-en-banfield-4-ambientes--11401024,79000,120,175
213,26,pío baroja,1,1,3,1,/casa-en-venta-en-banfield-4-ambientes--11407200,145000,203,501
214,22,manuel castro,4,1,5,2,/casa-en-venta-en-banfield-6-ambientes--11407556,379000,382,449
215,20,chacabuco,2,1,4,2,/casa-en-venta-en-banfield--11424374,230000,120,127
216,62,bernardo de monteagudo,2,2,3,2,/casa-en-venta-en-banfield-4-ambientes--11428667,230000,200,470
217,20,melo,1,1,3,1,/casa-en-venta-en-banfield-5-ambientes--11430524,240000,150,302
218,42,avenida santa fe,1,3,3,2,/casa-en-venta-en-banfield-4-ambientes--10741980,139900,189,267
219,65,azara,3,0,4,2,/casa-en-venta-en-banfield-5-ambientes--11177124,420000,248,453
220,10,boulogne sur mer,2,1,3,2,/casa-en-venta-en-banfield--11438057,240000,174,212
221,32,merlin,1,2,2,1,/casa-en-venta-en-banfield-3-ambientes--11035713,79000,70,300
222,10,bruselas,2,4,6,2,/casa-en-venta-en-banfield-7-ambientes--10912236,89000,162,375
223,35,chacabuco,2,1,3,2,/casa-en-venta-en-banfield-4-ambientes--11473146,275000,156,"403,08"
224,64,gener enrique mosconi,1,0,3,1,/casa-en-venta-en-banfield-4-ambientes--11477087,50000,86,299
225,35,cochabamba,2,1,3,2,/casa-en-venta-en-banfield-4-ambientes--11481993,220000,152,145
226,37,leandro n. alem,3,3,4,1,/casa-en-venta-en-banfield-7-ambientes--11482049,550000,252,828
227,32,emerson,1,1,2,1,/casa-en-venta-en-banfield-3-ambientes--11488289,119000,120,261
228,1972,maipú,2,1,3,1,/casa-en-venta-en-banfield-4-ambientes--10630989,190000,214,300
229,1992,cochabamba,2,1,3,1,/casa-en-venta-en-banfield-4-ambientes--11229163,240000,140,189
230,1979,gener pacios,1,1,2,1,/casa-en-venta-en-banfield-3-ambientes--11097086,125000,100,210
231,39,rodriguez brito,2,2,3,1,/casa-en-venta-en-banfield-4-ambientes--11494294,160000,312,1
232,26,gener carlos maría de alvear,5,5,3,3,/casa-en-venta-en-banfield-6-ambientes--11061737,470000,332,360
233,45,arenes,2,2,3,1,/casa-en-venta-en-banfield-5-ambientes--11495952,210000,145,366
234,42,marcos grigera,1,1,2,1,/casa-en-venta-en-banfield-3-ambientes--11058730,220000,94,505
235,5,boulogne sur mer,2,2,3,2,/casa-en-venta-en-banfield-4-ambientes--11498711,259000,190,224
236,15,beruti,1,4,3,2,/casa-en-venta-en-banfield-4-ambientes--11502576,142000,215,247
237,12,gener pacios,1,2,2,1,/casa-en-venta-en-banfield-3-ambientes--11446667,245000,110,332
238,10,godoy cruz,3,5,2,1,/casa-en-venta-en-banfield--11506665,290000,180,777
239,11,alem,4,3,3,2,/casa-en-venta-en-banfield-4-ambientes--10741991,359000,250,260
240,52,almafuerte,1,1,2,1,/casa-en-venta-en-banfield-3-ambientes--11511460,95000,94,140
241,40,manuel castro,2,2,5,2,/casa-en-venta-en-banfield-6-ambientes--11515934,235000,218,266
242,10,belleli,4,0,4,2,/casa-en-venta-en-banfield-5-ambientes--11532207,250000,275,265
243,2002,gr pacios,2,1,3,1,/casa-en-venta-en-banfield-5-ambientes--11537606,268000,196,332
244,1992,belelli,3,1,4,1,/casa-en-venta-en-banfield-5-ambientes--11306559,190000,156,340
245,1962,domingo french,2,3,4,1,/casa-en-venta-en-banfield-5-ambientes--11540279,295000,160,396
246,7,rincón,1,1,2,1,/casa-en-venta-en-banfield-3-ambientes--11100181,119600,98,110
247,54,j. darragueira,2,1,2,1,/casa-en-venta-en-banfield-3-ambientes--11541361,164000,96,"285,75"
248,65,miguel cane,1,2,2,1,/casa-en-venta-en-banfield--11544291,150000,223,400
249,47,sommaruga,1,0,2,1,/casa-en-venta-en-banfield-3-ambientes--11555677,63000,64,90
250,30,mabia,1,1,2,2,/casa-en-venta-en-banfield-4-ambientes--11569831,99000,98,164
251,40,matheu,1,3,2,1,/casa-en-venta-en-banfield-3-ambientes--11572018,145000,120,390
252,44,rincon,2,2,2,1,/casa-en-venta-en-banfield-4-ambientes--11577920,159000,193,222
